,Book,Author,Original_Language,First_Published,Approximate_Sales,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6
0,A Tale of Two Cities,Charles Dickens,English,1859,200000000,Historical fiction,,,,,
1,The Little Prince (Le Petit Prince),Antoine de Saint-Exupéry,French,1943,200000000,Fantasy, children's fiction,,,,
2,The Alchemist (O Alquimista),Paulo Coelho,Portuguese,1988,150000000,Fantasy,,,,,
3,Harry Potter and the Philosopher's Stone,J. K. Rowling,English,1997,120000000,Fantasy, children's fiction,,,,
4,And Then There Were None,Agatha Christie,English,1939,100000000,Mystery,,,,,
5,Dream of the Red Chamber (紅樓夢),Cao Xueqin,Chinese,1791,100000000,Family saga,,,,,
6,The Hobbit,J. R. R. Tolkien,English,1937,100000000,Fantasy, children's fiction,,,,
7,Alice's Adventures in Wonderland,Lewis Carroll,English,1865,100000000,Fantasy, absurdist fiction,,,,
1,She: A History of Adventure,H. Rider Haggard,English,1887,83000000,Adventure,,,,,
2,The Da Vinci Code,Dan Brown,English,2003,80000000,Mystery thriller,,,,,
3,Harry Potter and the Chamber of Secrets,J. K. Rowling,English,1998,77000000,Fantasy, children's fiction,,,,
4,The Catcher in the Rye,J. D. Salinger,English,1951,65000000,Coming-of-age,,,,,
5,The Bridges of Madison County,Robert James Waller,English,1992,60000000,Romance,,,,,
6,One Hundred Years of Solitude (Cien años de soledad),Gabriel García Márquez,Spanish,1967,50000000,Magic realism,,,,,
7,Lolita,Vladimir Nabokov,English,1955,50000000,Novel,,,,,
8,Heidi,Johanna Spyri,German,1880,50000000,Children's fiction,,,,,
9,The Common Sense Book of Baby and Child Care,Benjamin Spock,English,1946,50000000,Manual,,,,,
10,Anne of Green Gables,Lucy Maud Montgomery,English,1908,50000000,Children's novel,,,,,
11,Black Beauty,Anna Sewell,English,1877,50000000,Children's literature,,,,,
12,The Name of the Rose (Il Nome della Rosa),Umberto Eco,Italian,1980,50000000,Historical novel, mystery,,,,
13,The Eagle Has Landed,Jack Higgins,English,1975,50000000,War, thriller,,,,
14,Watership Down,Richard Adams,English,1972,50000000,Children's fiction,,,,,
15,The Hite Report,Shere Hite,English,1976,50000000,nonfiction,,,,,
16,Charlotte's Web,E. B. White; illustrated by Garth Williams,English,1952,50000000,Children's fiction,,,,,
17,The Ginger Man,J. P. Donleavy,English,1955,50000000,Novel,,,,,
18,The Purpose Driven Life,Rick Warren,English,2002,50000000,Philosophical Manual,,,,,
0,The Tale of Peter Rabbit,Beatrix Potter,English,1902,45000000,Children's literature,,,,,
1,Jonathan Livingston Seagull,Richard Bach,English,1970,44000000,Novella, self-help,,,,
2,The Very Hungry Caterpillar,Eric Carle,English,1969,43000000,Children's literature, picture book,,,,
3,A Message to Garcia,Elbert Hubbard,English,1899,40000000,Essay/literature,,,,,
4,To Kill a Mockingbird,Harper Lee,English,1960,40000000,Southern Gothic, Bildungsroman,,,,
5,Flowers in the Attic,V. C. Andrews,English,1979,40000000,Gothic horror, family saga,,,,
6,Cosmos,Carl Sagan,English,1980,40000000,Popular science, anthropology, astrophysics, cosmology, philosophy, history
7,Sophie's World (Sofies verden),Jostein Gaarder,Norwegian,1991,40000000,Philosophical novel, Young adult,,,,
8,Angels & Demons,Dan Brown,English,2000,39000000,mystery-thriller,,,,,
9,Alcoholics Anonymous,William Griffith Wilson,English,1939,37000000,Self-help,,,,,
10,Kane and Abel,Jeffrey Archer,English,1979,37000000,Novel,,,,,
11,How the Steel Was Tempered (Как закалялась сталь),Nikolai Ostrovsky,Russian,1932,36400000,Socialist realist novel,,,,,
12,War and Peace (Война и мир),Leo Tolstoy,Russian,1869,36000000,Historical novel,,,,,
13,The Adventures of Pinocchio (Le avventure di Pinocchio),Carlo Collodi,Italian,1881,35000000,Fantasy, children's fiction,,,,
14,The Diary of Anne Frank (Het Achterhuis),Anne Frank,Dutch,1947,35000000,Historical non-fiction, autobiography, memoir, bildungsroman / coming of age, Jewish literature,
15,Your Erroneous Zones,Wayne Dyer,English,1976,35000000,Self-help,,,,,
16,The Thorn Birds,Colleen McCullough,English,1977,33000000,Romantic family saga,,,,,
17,The Kite Runner,Khaled Hosseini,English,2003,31500000,Bildungsroman, historical fiction,,,,
18,Valley of the Dolls,Jacqueline Susann,English,1966,31000000,Novel,,,,,
19,How to Win Friends and Influence People,Dale Carnegie,English,1936,30000000,Self-help,,,,,
20,The Great Gatsby,F. Scott Fitzgerald,English,1925,30000000,Novel, tragedy,,,,
21,Gone with the Wind,Margaret Mitchell,English,1936,30000000,Historical fiction,,,,,
22,Rebecca,Daphne du Maurier,English,1938,30000000,Gothic novel,,,,,
23,The Revolt of Mamie Stover,William Bradford Huie,English,1951,30000000,Fiction,,,,,
24,The Girl with the Dragon Tattoo (Män som hatar kvinnor),Stieg Larsson,Swedish,2005,30000000,Fiction,,,,,
25,The Lost Symbol,Dan Brown,English,2009,30000000,Fiction,,,,,
26,The Hunger Games,Suzanne Collins,English,2008,29000000,Young adult fiction,,,,,
27,James and the Giant Peach,Roald Dahl,English,1961,28000000,Children's novel,,,,,
28,The Young Guard (Молодая гвардия),Alexander Alexandrovich Fadeyev,Russian,1945,26000000,Young adult historical novel,,,,,
