,Book_Series,Author,Original_Language,No_of_Installments,Years_of_Publication,Approximate_Sales,Genre_1,Genre_2,First_Installment_Published,Last_Installment_Published,No_of_Main_Books,No_of_Extras,Extras,All_Genre
0,Harry Potter,J. K. Rowling,English,7 + 3 companion books + 4 scripts,1997–2007,600000000,,,1997,2007,7,7.0,True,
1,Goosebumps,R. L. Stine,English,62 + spin-off series,1992–2025,400000000,,,1992,2025,62,,True,
2,Perry Mason,Erle Stanley Gardner,English,82 + 4 short stories,1933–1973,300000000,,,1933,1973,82,4.0,True,
3,Diary of a Wimpy Kid,Jeff Kinney,English,19 + 5 spin-offs,2007–2025,290000000,,,2007,2025,19,5.0,True,
4,Berenstain Bears,Stan and Jan Berenstain,English,428,1962–2025,260000000,,,1962,2025,428,,False,
5,Choose Your Own Adventure,Various authors,English,185,1979–2025,250000000,,,1979,2025,185,,False,
6,Sweet Valley High,Francine Pascal and ghostwriters,English,400,1983–2003,250000000,,,1983,2003,400,,False,
8,Noddy,Enid Blyton,English,24,1949–2025,200000000,,,1949,2025,24,,False,
9,Nancy Drew,Various authors as Carolyn Keene,English,175,1930–2025,200000000,,,1930,2025,175,,False,
10,San-Antonio,Frédéric Dard,French,173,1949–2001,200000000,,,1949,2001,173,,False,
11,Robert Langdon,Dan Brown,English,5,2000–2025,200000000,,,2000,2025,5,,False,
12,Geronimo Stilton,Elisabetta Dami,Italian,200,1997–2025,180000000,,,1997,2025,200,,False,
13,Percy Jackson & the Olympians,Rick Riordan,English,7 + 5 companion books + 4 spin-off series,2005–2025,180000000,,,2005,2025,7,9.0,True,
14,The Baby-sitters Club,Ann Martin,English,335,1986–2025,172000000,,,1986,2025,335,,False,
15,Twilight,Stephenie Meyer,English,4 + 2 companion books + 1 novella,2005–2020,160000000,,,2005,2020,4,3.0,True,
16,Star Wars,Various authors,English,300,1977–2025,160000000,,,1977,2025,300,,False,
17,Little Critter,Mercer Mayer,English,200,1975–2025,150000000,,,1975,2025,200,,False,
18,Peter Rabbit,Beatrix Potter,English,6,1902–1930,150000000,,,1902,1930,6,,False,
19,Fifty Shades,E. L. James,English,3,2011–2015,150000000,,,2011,2015,3,,False,
